,idf_weights
,7.908255154023788
earth,7.908255154023788
goodies,7.908255154023788
if,7.908255154023788
ripley,7.908255154023788
suspend,7.908255154023788
they,7.908255154023788
white,7.908255154023788
,7.215107973463843
,7.502790045915623
!,2.1031201851073
#,4.772760938094638
$,3.425252602009904
%,4.594069149351263
&,3.4834085221669784
',1.9589155332164772
'',6.809642865355678
''its,7.908255154023788
'00s,7.908255154023788
'10,7.908255154023788
'28,7.908255154023788
'30s-style,7.908255154023788
'40s,7.215107973463843
'50s,6.809642865355678
'58,7.908255154023788
'60s,6.203507061785363
'60s/'70s,7.908255154023788
'69,7.908255154023788
'70,7.908255154023788
'70s,6.1164956847957335
'77,7.908255154023788
'79,7.908255154023788
'80,7.908255154023788
'80s,5.711030576687569
'82,7.908255154023788
'90,7.502790045915623
'90s,5.9623450049684745
'92/early,7.908255154023788
'93,7.908255154023788
'94,6.991964422149633
'95,7.908255154023788
'95s,7.908255154023788
'96,7.502790045915623
'97,6.404177757247514
'98,7.215107973463843
'99,7.908255154023788
'a,7.502790045915623
'act,7.908255154023788
'acting,7.908255154023788
'all,7.908255154023788
'almost,7.908255154023788
'amateur,7.908255154023788
'amusing,7.908255154023788
'ani,7.908255154023788
'animal,7.908255154023788
'answer,7.908255154023788
'anywhere,7.908255154023788
'artistic,7.908255154023788
'attila,7.908255154023788
'authenticity,7.908255154023788
'baby,7.908255154023788
'back,7.908255154023788
'bad,7.908255154023788
'barntill,7.908255154023788
'based,7.908255154023788
'basic,7.908255154023788
'batman,7.908255154023788
'beep,7.908255154023788
'being,7.215107973463843
'bend,7.908255154023788
'best,7.908255154023788
'bicentennial,7.908255154023788
'big,7.908255154023788
'birds,7.908255154023788
'blabbed,7.908255154023788
'blair,7.908255154023788
'blew,7.908255154023788
'blue,7.908255154023788
'bluer,7.908255154023788
'bots,7.908255154023788
'bout,7.502790045915623
'breaker,7.908255154023788
'broads,7.908255154023788
'bullet,7.908255154023788
'buy,7.908255154023788
'caravan,7.908255154023788
'carry,7.502790045915623
'cause,6.2988172415896875
'cept,7.908255154023788
'characters,7.908255154023788
'chasing,7.908255154023788
'chateau,7.908255154023788
'cheezy,7.908255154023788
'cinderella,7.908255154023788
'clean,7.908255154023788
'clerks,7.908255154023788
'collection,7.908255154023788
'comedy,7.215107973463843
'comical,7.908255154023788
'companion,7.908255154023788
'con,7.908255154023788
'contact,7.908255154023788
'controversial,7.908255154023788
'copter,7.908255154023788
'craziness,7.908255154023788
'crazy,7.908255154023788
'cripple,7.908255154023788
'cute,7.908255154023788
'd,2.864830037104541
'daddy,7.908255154023788
'dante,7.908255154023788
'dantes,7.908255154023788
'dark,7.502790045915623
'dating,7.908255154023788
'debate,7.908255154023788
'deep,7.908255154023788
'did,7.908255154023788
'do,7.215107973463843
'dog-in-danger,7.908255154023788
'dogma,7.908255154023788
'double,7.908255154023788
'driven,7.908255154023788
'dude,7.908255154023788
'eat,7.908255154023788
'either,7.908255154023788
'em,5.768188990527517
'end,7.502790045915623
'enough,7.908255154023788
'er,7.908255154023788
'everything,7.908255154023788
'evil,7.908255154023788
'evolution,7.908255154023788
'exciting,7.908255154023788
'exorcised,7.908255154023788
'eye,7.908255154023788
'f,7.215107973463843
'face,7.908255154023788
'fear,7.908255154023788
'feel,7.908255154023788
'film,7.908255154023788
'financial,7.908255154023788
'fiona,7.908255154023788
'first,7.908255154023788
'five,7.908255154023788
'flood,7.908255154023788
'freaky,7.908255154023788
'freedom,7.908255154023788
'friend,7.908255154023788
'fright,7.908255154023788
'fuck,7.908255154023788
'funny,6.809642865355678
'geniuses,7.908255154023788
'get,7.908255154023788
'ghetto,7.502790045915623
'ghostbusters,7.908255154023788
'gi,7.908255154023788
'gift,7.908255154023788
'girl,7.908255154023788
'gomer,7.908255154023788
'good,7.215107973463843
'gothic,7.908255154023788
'grease,7.908255154023788
'great,7.908255154023788
'greatest,7.908255154023788
'green,7.908255154023788
'halloween,7.908255154023788
'handling,7.908255154023788
'happening,7.908255154023788
'hard,7.908255154023788
'haunting,7.908255154023788
'having,7.908255154023788
'he,7.908255154023788
'helen,7.908255154023788
'help,7.908255154023788
'here,7.908255154023788
'hidden,7.908255154023788
'hilarious,7.908255154023788
'his,7.908255154023788
'hit,7.908255154023788
'hokey,7.908255154023788
'hollow,7.908255154023788
'holocaust,7.908255154023788
'home,7.908255154023788
'homeboy,7.908255154023788
'hooked,7.908255154023788
'hope,7.908255154023788
'hospital,7.908255154023788
'hot,7.908255154023788
'how,7.908255154023788
'humour,7.908255154023788
'i,7.215107973463843
'if,7.502790045915623
'il,7.908255154023788
'in,7.908255154023788
'independent,7.908255154023788
'innocent,7.908255154023788
'interview,7.908255154023788
'invaders,7.908255154023788
'investigation,7.908255154023788
'isolated,7.908255154023788
'it,7.908255154023788
'judas,7.908255154023788
'judge,7.908255154023788
'jurassic,7.908255154023788
'key,7.908255154023788
'kidnapped,7.908255154023788
'kong,7.908255154023788
'kung,7.908255154023788
'la,7.908255154023788
'lake,7.908255154023788
'landworld,7.908255154023788
'laughter,7.908255154023788
'leaving,7.908255154023788
'leon,7.908255154023788
'lingerie,7.908255154023788
'little,7.908255154023788
'lives,7.908255154023788
'll,2.5611476233063195
'logical,7.908255154023788
'long-lost,7.908255154023788
'lost,7.908255154023788
'lucky,7.908255154023788
'm,2.5925891491411384
'macho,7.908255154023788
'mallrats,7.908255154023788
'master,7.908255154023788
'matrix,7.908255154023788
'matron,7.502790045915623
'maybe,7.908255154023788
'meaningful,7.908255154023788
'men,7.908255154023788
'miming,7.908255154023788
